Date,Open,High,Low,Close
09-Jan-14,6181.7,6188.05,6148.25,6168.3
10-Jan-14,6178.85,6239.1,6139.6,6171.4
13-Jan-14,6189.55,6288.2,6189.55,6272.7
14-Jan-14,6260.25,6280.35,6234.15,6241.8
15-Jan-14,6265.95,6325.2,6265.3,6320.9
16-Jan-14,6341.35,6346.5,6299.85,6318.9
17-Jan-14,6306.25,6327.1,6246.35,6261.6
20-Jan-14,6261.75,6307.45,6243.35,6303.9
21-Jan-14,6320.15,6330.3,6297.9,6313.8
22-Jan-14,6309.05,6349.95,6287.45,6338.9
23-Jan-14,6325.95,6355.6,6316.4,6345.6
24-Jan-14,6301.65,6331.45,6263.9,6266.7
27-Jan-14,6186.3,6188.55,6130.25,6135.8
28-Jan-14,6131.85,6163.6,6085.95,6126.2
29-Jan-14,6161,6170.45,6109.8,6120.2
30-Jan-14,6067,6082.85,6027.25,6073.7
31-Jan-14,6082.75,6097.85,6067.35,6089.5
03-Feb-14,6058.8,6074.85,5994.45,6001.8
04-Feb-14,5947.6,6017.8,5933.3,6000.9
05-Feb-14,6004.25,6028.05,5962.05,6022.4
06-Feb-14,6028.35,6048.35,5965.4,6036.3
07-Feb-14,6077.65,6079.95,6030.9,6063.2
10-Feb-14,6072.8,6083.05,6046.4,6053.4
11-Feb-14,6072.45,6081.85,6053.25,6062.7
12-Feb-14,6085.35,6106.6,6077.4,6084
13-Feb-14,6087.55,6094.4,5991.1,6001.1
14-Feb-14,6023.75,6056.4,5984.6,6048.3
17-Feb-14,6057.1,6080.65,6038.3,6073.3
18-Feb-14,6071.3,6141.7,6066.8,6127.1
19-Feb-14,6132.05,6160.35,6125.75,6152.7
20-Feb-14,6127.15,6129.1,6086.45,6091.4
21-Feb-14,6108.3,6159.65,6108,6155.4
24-Feb-14,6140.95,6191.85,6130.8,6186.1
25-Feb-14,6205.7,6216.85,6176.6,6200
26-Feb-14,6202.45,6245.95,6202.1,6238.8
28-Feb-14,6228.45,6282.7,6228.1,6276.9
03-Mar-14,6264.35,6277.75,6212.25,6221.4
04-Mar-14,6216.75,6302.15,6215.7,6297.9
05-Mar-14,6328.45,6336.25,6287.8,6328.6
06-Mar-14,6344.75,6406.6,6339.7,6401.1
07-Mar-14,6413.95,6537.8,6413.55,6526.6
10-Mar-14,6491.7,6562.2,6487.35,6537.2
11-Mar-14,6537.35,6562.85,6494.25,6511.9
12-Mar-14,6497.5,6546.15,6487.3,6516.9
13-Mar-14,6491.75,6561.45,6476.65,6493.1
